expiry,T,days_to_expiry,cp,strike,price,spread,price_source,quote_age_days,volume,openInterest,spot,quoted_spot,forward,discount,r,q,fwd_method,n_parity_pairs,log_moneyness,std_moneyness,iv,contractSymbol,snapshot_utc,model_price,price_error,model_iv,iv_error
2026-09-08,0.057534246575342465,21,C,750.0,25.055,0.46999999999999886,mid,2.107754164710648,2.0,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.028749339914175335,-1.0097860519569195,0.14862994922903608,XSP260908C00750000,2026-08-18T08:43:39+00:00,24.402424685337223,-0.6525753146627764,0.13581451087179666,-0.012815438357239417
2026-09-08,0.057534246575342465,21,C,751.0,24.215,0.4299999999999997,mid,6.344964812858795,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.027416894680396688,-0.9629855126720943,0.1474804611192572,XSP260908C00751000,2026-08-18T08:43:39+00:00,23.601761944416126,-0.6132380555838743,0.13579662311162638,-0.011683838007630815
2026-09-08,0.057534246575342465,21,C,752.0,23.365000000000002,0.41000000000000014,mid,6.344964812858795,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.02608622249469158,-0.9162472495723729,0.14600745323306205,XSP260908C00752000,2026-08-18T08:43:39+00:00,22.812667151067444,-0.5523328489325579,0.13577972740893807,-0.010227725824123984
2026-09-08,0.057534246575342465,21,C,755.0,20.84,0.4200000000000017,mid,6.340589812858796,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.022104797195506728,-0.7764044654936001,0.1412371797908286,XSP260908C00755000,2026-08-18T08:43:39+00:00,20.518522578507714,-0.3214774214922862,0.1357349823407704,-0.005502197450058199
2026-09-08,0.057534246575342465,21,C,760.0,16.895000000000003,0.23000000000000043,mid,2.107754164710648,1.0,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.015504113164154638,-0.5445633627715274,0.1346924787240004,XSP260908C00760000,2026-08-18T08:43:39+00:00,16.959446795424014,0.06444679542401133,0.13568012903956667,0.0009876503155662741
2026-09-08,0.057534246575342465,21,C,765.0,13.205,0.10999999999999943,mid,1.8662958313773146,41.0,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.008946712617995536,-0.3142425405066213,0.12774307204797486,XSP260908C00765000,2026-08-18T08:43:39+00:00,13.76247694947358,0.5574769494735801,0.1356497163752313,0.007906644327256435
2026-09-08,0.057534246575342465,21,C,767.0,11.83,0.10000000000000142,mid,6.901492590636574,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.006335745077275242,-0.222535440009624,0.12507195620231495,XSP260908C00767000,2026-08-18T08:43:39+00:00,12.591164735825828,0.7611647358258278,0.13564432409688615,0.010572367894571194
2026-09-08,0.057534246575342465,21,C,768.0,11.155,0.08999999999999986,mid,6.901492590636574,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,-0.005032813296859233,-0.17677152534434284,0.12359966059438758,XSP260908C00768000,2026-08-18T08:43:39+00:00,12.02911239993341,0.874112399933411,0.13564306725761224,0.012043406663224662
2026-09-08,0.057534246575342465,21,C,772.0,8.690000000000001,0.08000000000000007,mid,5.8610064795254635,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,0.00016200358024477104,0.005690181276739266,0.11869578445839972,XSP260908C00772000,2026-08-18T08:43:39+00:00,9.9398526204738,1.2498526204737992,0.135647555107101,0.016951770648701278
2026-09-08,0.057534246575342465,21,C,773.0,8.120000000000001,0.08000000000000007,mid,6.908483331377314,,0.0,770.3342101802784,778.5800170898438,771.8749433661358,0.9982632293079989,0.030212972798208372,-0.004515674717539345,parity (regression),15,0.0014565021428904789,0.051157889291607334,0.11750346760730228,XSP260908C00773000,2026-08-18T08:43:39+00:00,9.457357771734507,1.3373577717345064,0.13565103730747688,0.0181475697001746
